app_ref,reg_date,app_type,location,planning_notes,residential_units,desc,decision,decision_date,extension_to_date,indicative_date_valid_until,info_url,full_desc,app_date,app_status,app_status_desc,comment,app_agent,app_company
D14A/0260,15/09/2014,Permission,"Lands at Cunningham Drive, Dalkey, Co Dublin",,18,Permission for a residential development comprising of 18 no. dwellings on this,ONGOING,NA,NA,NA,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D14A/0260,"Permission for a residential development comprising of 18 no. dwellings on this 0.59 ha site.  The development will consist of 5 no. 2 bedroom houses (4 no. house type A, two storey over basement - 141.5m2 and 1 no. house type B1, part single & part two storey - 137.1m2), 3 no. 3 bedroom houses (3 no. house type D, two and a half storey - 142.4m2) and 10 no. 4 bedroom houses (2 no. house type B, part two and part three storey - 205m2, 1 no. house type C, three storey - 278m2, 1no. house type D1, two and a half storey - 171.6m2, 1 no. House Type E, three storey - 177.8m2, 1 no. House Type E1, three storey - 183.5m2, 1 no. House Type E2, part three storey and part two storey over basement - 222.7m2 and 3 no. House Type F, three storey over basement - 315m2).  All houses are in terrace format.  A basement car-park 370m2 with 8 no. private and 4 no. visitor parking spaces and a shared bin store, a public open space area of 589m2 including an external platform lift, 30 no. surface car-parking spaces - 28 no. private and 2 no. visitor spaces, along with all associated and ancillary site and landscaping works.",06/05/2014,ONGOING,Registered applications,The Observation period for this application expired on09-Jun-2014,JFOC Architects,Allied Land Investments Ltd
D14A/0152/C1,15/09/2014,Compliance with Conditions,"Amgen Technology Ireland, Pottery Road, Dun Laoghaire, Co. Dublin",Might be of Interest,0,Compliance re condition nos. 5 & 6,ONGOING,NA,NA,NA,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D14A/0152/C1,"Compliance re condition nos. 5 & 6.  Permission for development consisting of: The relocation of the previously permitted 130 no. car parking spaces (Planning Ref No. D11A/0406, decision dated 13th January 2012) from the north of the Amgen site to the centre and north of the site, together with associated fencing, lighting, landscaping works and road works and 6 no. disabled car spaces directly adjacent to the existing access ramp to the south of the site. This application consists of a variation to a previously permitted development of an activity for which a licence under Part IV on the Environmental Protection Agency Act, 1992 is required and will be notified to the environmental Protection Agency.",15/09/2014,ONGOING,Registered applications,No Comment,Jacobs Engineering,Amgen Technology (IIreland)
D09A/0357/E,11/09/2014,Extension Of Duration Of Permission,"Balure, Church Road, Killiney, Co. Dublin",,6,Planning permission sought for development which will consist of the constructio,ONGOING,NA,NA,NA,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D09A/0357/E,"Planning permission sought for development which will consist of the construction of 6 no. detached 6 bedroom, 2-storey houses with developed roof-space, including modifications to the existing house to be retained on site, all associated infrastructure, landscaping, boundary treatment and site development works. Vehicular and pedestrian access to the proposed development is provided via the relocation and modification of an existing entrance from Balure Lane connecting to Church Road.",11/09/2014,ONGOING,Registered applications,No Comment,Niall D Brennan Associates,Castle Park Building Company Limited
D14A/0286,10/09/2014,Permission,"Site of c.0.437 hectares at Killart, Clonkeen Road, off the Old Bray Road and bounded by the N11 to the North, Cornelscourt, Dublin 18",,17,Permission for development consisting of the demolition of the existing,ONGOING,NA,NA,NA,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D14A/0286,"Permission for development consisting of the demolition of the existing structures on site and the construction of 17 no. residential dwellings (total gross floor area c.2,646 sqm) consisting of (i) 4 no. 4 bed three storey, detached houses ranging between c.150sqm and c.169sqm; (ii) 3 no. 4 bed three storey terraced houses of 156 sqm each; (iii) 10 no. 4 bed three storey semi-detached houses ranging between c.150sqm and c.168 sqm; (iv) 34 no. off street car parking spaces; (v) 6 no. bicycle spaces; (vi) relocation of the existing surface water sewer within the site; (vii) 1 no. access road serving 11 no. units and 6 no. individual access points all off Clonkeen Road and (viii) open space, landscaping, boundary treatment and all associated site development works and site services.",16/05/2014,ONGOING,Registered applications,The Observation period for this application expired on19-Jun-2014,Integrated Development Services Ltd,Killart Ltd
D14A/0134,08/09/2014,Permission,"Frascati Shopping Centre, Frascati Road (N31), Blackrock, Co. Dublin",Might be of Interest,0,Permission for development on an application site area of 3.41 hectares.,ONGOING,NA,NA,NA,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D14A/0134,"Permission for development on an application site area of 3.41 hectares.  The development site is bound by the N31 Frascati Road to the north-east; the rear of properties on George's Avenue to the south-east; the rear of properties on Frascati Park to the west and south-west and the rear of Lisalea Apartments to the north and adjacent terrace of houses on Mount Merrion Avenue to the north-west.  The proposed development provides for the part demolition and extension of the shopping centre to the north-east (towards Frascati road) and to the north-west to provide for an expansion of the retail, retail services, restaurant/caf̩ and ancillary floor space at lower ground, ground, first and second floor level, including a terrace for the second floor level restaurant.  A lower ground and podium level of car parking is proposed in the north-east and north-west part of the site.  The development consists of a building comprising part two/part three storeys over existing lover ground (basement) level of retail and a proposed lower ground floor level car park.  The rejuvenation of Frascati Shopping Centre will comprise of 19,592 sqm gross floor area (GFA) of existing retained and proposed floor space, in addition to a lower ground floor level car park with a GFA of 6,158 sqm (total GFA including lower ground level car park of 25,750 sqm).  The existing centre has a total GFA of 10,239 sqm.  The rejuvenated shopping centre will consist of 16,020 sqm GFA of lettable retail, retail services and restaurant/caf̩ floor space, compared with 9,358 sqm lettable floor space in the existing centre.  The proposed development provides for a net increase of 6,662 sqm GFA of lettable retail, retail services and restaurant/caf̩ floor space.  the total floor space to be demolished, including mall floor space, is 1,708 sqm GFA.  The proposal also provides for the demolition of the entrance lobby and canopy to the north-east elevation, the entrance lobby and canopy to the south-west elevation and the canopy to the north-west elevation of the existing shopping centre building.  The development will be served by 556 no. car parking spaces and 170 no. cycle spaces at lower ground, ground (surface) and podium level.  The proposal incorporates associated signage, including one no. totem sign fronting Frascati Road, a 'Frascati' centre sign and two no. anchor store signs on the north-east elevation, one no. anchor store sign and one no. 'Frascati' centre sign on the north-west elevation, one no. entrance sign on the south-west elevation and one no. sign on the south-east elevation.  A new landscaped open space area is provided to the north-east of the rejuvenated shopping centre adjacent to Frascati Road.  The proposal also involves the realignment of the existing Priory Stream culvert which passes under the north-west car park, diversion of watermains, roof mounted screened plant area and 2 no. loading bays.  The proposal includes all hard and soft landscaping work; all associated site development works; and all other ancillary works.  The proposal provides for road improvement works to Frascati Road.  These include the reconfiguration of the existing site access from Frascati Road (N31) adjacent to George's Avenue, including the closure of the existing site exist at this location.  The reconfiguration of the existing site access at the traffic light intersection on Frascati Road opposite Rock Hill and adjacent Rock Road/Mount Merrion Avenue, including a new right turn into the site for southbound traffic on Frascati Road, a new straight movement exit to Rock Hill and a new right turning exit for southbound traffic exiting the site, including modifications to traffic islands to facilitate the revised arrangements.  The development includes associated revisions to traffic circulation with the application site including the provision of ticket machines and barriers to facilitate pay on foot parking facilities.  An EIS will be submitted to the Planning Authority with the planning application.",19/03/2014,ONGOING,Registered applications,The Observation period for this application expired on22-Apr-2014,John Spain Associates,Frascati Investments 2012 Limited
D14A/0229,04/09/2014,Permission,"The Bridge, Enniskerry Road, Kilternan, Co. Dublin",,11,Permission for minor alterations to 10 no. permitted houses (Planning Permission,ONGOING,NA,NA,NA,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D14A/0229,"Permission for minor alterations to 10 no. permitted houses (Planning Permission D07A/0899 refers).  The proposed changes comprise the following: Alterations to fenestration on front and rear elevations.  Alterations to balcony design.  Alteration and removal of chimneys.  Internal alterations to partition walls and stairs.  Alterations to permitted floor areas - addition of c.2.78 sq.m to House Type A (sites 5 and 6); addition of c.3.2 sq.m to House Type B (sites 1, 2, and 3); addition of c.3.3 sq.m to House Type C (sites 9 and 10); addition of c.3.2 sq.m to House Type G (site 8); addition of c.2.6 sq.m to House Type H (site 4); and reduction of House Type D (site 7) by c.3.68 sq.m.  In all other respects the development will be carried out in accordance with the requirements of planning permission D07A/0899.",23/04/2014,ONGOING,Registered applications,The Observation period for this application expired on27-May-2014,Colin McGill,Stoneville Properties Ltd.
D08A/1165/E,01/09/2014,Extension Of Duration Of Permission,"Site to the rear of No.s 37-40,  & No.s 25-35, Abbey Road, Monkstown, Co Dublin",,40,Demolition of existing factory and the construction of 40 residential units and,ONGOING,NA,NA,NA,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D08A/1165/E,"Development at this site on lands comprising  c. 1.58 acres .Demolition of existing factory and the construction of 40 residential units and two retail units as follows: (A) 2 No. 3 storey (2 storey plus penthouse) blocks comprising 20 no. 2 bed units, 4 no. 3 bed units, 4 no. 1 bed units, (B) Two no. 2 storey blocks comprising 10 no. 3 bed town houses, all located to the rear of houses no. 25-35 Abbey Road, (C) One no. 2 storey entrance block between No.'s 39 and 38 Abbey Road comprising new archway vehicular entrance, 2 no. retail units at ground floor and 1 no. 1 bed 1 no. 2 bed apartments overhead, (D) All associated site works and services, including surface car parking, roadways, bike stands, bins stores, new ESB substation boundary treatment, landscaping and all associated site works.Including foothpath,road and junction improvement works to Abbey Road,and all lands accessed off Abbey Road,between  and to the rear of nos 40-37 and to the rear of nos 25-35 Abbey Road.",01/09/2014,ONGOING,Registered applications,No Comment,Patrick Kerr,Dorville Homes (In Receivership)
D14A/0338,27/08/2014,Permission,"Lands measuring 2.14 hectares, Carrickmines Green, Glenamuck Road, Carrickmines, Dublin 18 within the townland of Carrickmines Great",,43,Permission for modifications to the residential development permitted under,ONGOING,NA,NA,NA,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D14A/0338,Permission for modifications to the residential development permitted under Planning Register Ref. D11A/0312 and D12A/0262.  The development will consist of minor modifications to the internal layouts including some elevational changes to all 43 no. dwelling units which are identified as follows:  1-3 and 6-37 The Avenue and 19-26 The Walk.  There are also some changes to the site layout relating to car parking.  Permission is also sought for a temporary construction entrance to the site to minimise disruption to the existing development.,30/05/2014,ONGOING,Registered Application,The Observation period for this application expired on03-Jul-2014,Liam Loughrey BE C Eng,C/o John McStay
D14A/0515,08/08/2014,Permission,"Belmont residential scheme, in the Townlands of, Murphystown And Woodside, Stepaside, Co Dublin",Mod Units: 70 + 23 = 93,93,"Permission for development at Belmont, bounded to the north and west by the rear",ONGOING,NA,NA,NA,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D14A/0515,"Permission for development at Belmont, bounded to the north and west by the rear boundaries of residences accessed of Hillcrest Road and Old Kilgobbin Road; to the east by open space associated with Ferncarrig/Fernleigh and Sandyford Hall residential estates; to the south and south-west by Aiken's Village residential development and Village Road, Aiken's Village.  Permission is sought for amendments to existing permission D10A/0440 (ABP Ref. PL06D.239332), comprising rear extensions and changes to the rear elevations of the following 70 of the 93 no. permitted houses in Sector 2: Nos. 1-7, 10, 11, 14-16, 19-22 Atkinson Drive; Nos. 1-4, 6, 7 Thornberry Road; Nos. 1-5, 7-10, 12-17, 19-23 Thornberry Close; Nos. 1-7 Thornberry Drive; Nos. 1, 2, 4, 5 Darley Drive; Nos. 6 & 7 Darley Lane; Nos. 5-19 Hyde Road.  The proposed extensions comprise the following: 6 sqm to each Type B1 unit (10 no. 3-bed, 2-storey) now 108 sqm each; 6sqm to each Type B2 unit (5 no. 3-bed, 2 storey), now 108 sqm each; 19 sqm to each Type C2 unit (previously Type C) (6no. 3-bed, 2-storey) now 114 sqm each; 9.5 sqm to each Type JA unit (18 no. 4-bed, 3-storey), now 134 sqm each; 15 sqm to each Type J2A unit (8 no. 4-bed, 3-storey), now 150 sqm; 19 sqm to the Type L unit (1 no. 4-bed, 3-storey), now 162 sqm; 5 sqm to each Type P unit (previously Type C) (21 no. 3-bed, 2-storey), now 100 sqm; 5 sqm to the Type Q unit (previously Type L) (1 no. 4-bed, 3-storey), now 148 sqm.  The finished floor levels of the proposed houses are altered from those permitted.  All other associated site development works, landscaping and services provision are as per permission D10A/0440.  No modifications to the remaining permitted 23 no. houses or 8 no. apartments (Block 13) within Sector 2.",08/08/2014,ONGOING,Registered applications,The Observation period for this application expired on11-Sep-2014,McGill Planning Ltd,SDR Property Development Ltd
D06A/0927/E,11/07/2014,Extension Of Duration Of Permission,"Dun Laoghaire Golf Club Lands, At Glenageary Road Upper And Kill Avenue,Dun Laoghaire",,856,"Development comprising; residential, office and retail development",GRANT EXTENSION OF DURATION OF PERM.,04/09/2014,12/06/2020,12/06/2020,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D06A/0927/E,"Development comprising; residential, office and retail development on the 'Southern Site' of the Dun Laoghaire Golf Club Lands at Glenageary Road Upper and Kill Avenue, Dun Laoghaire, County Dublin. The developments lands are situated adjoining and to the south of Glenageary Road Upper. The development will consist of approx 115,954 sq.m of gross floor area overall, as follows; 856 residential units, (108 no. One-bed apartments, 399 no. two-bed apartments, 119 no three bed apartments, 4no. three bed two storey houses, 85 no four-bed three storey houses, 140 no. five-bed three storey houses, 1 no. seven-bed three storey house) of which 143 no. apartments in Block B7, a four storey building, with associated semi-private courtyard open space, balconies and terraces, 186 no. apartments in Block B8, a five, six and seven storey building with associated semi-private courtyard open space, balconies and terraces, 150 no apartments in Block B9, a four, five and six storey building with associated semi-private courtyard open space, balconies and terraces, 147 no apartments in Block B10 a four, five and six storey building with associated semi-private courtyard open space, balconies and terraces; 1 no. two storey house and 20 no three storey houses in Terrace T5; 21 no. three storey houses  in Cell C5; 20 no. three storey houses in Cell C6; 20 no. three storey houses in Cell C7; 15 no.  three storey houses in terrace T6; 15 no three storey houses in Terrace T7; 14 no. three storey houses in Terrace T8; 1 no. two storey house and 15 no. three storey houses in Terrace T9; 28 no. three storey houses in Cell C8; 22 no three storey houses in cell C9; 22 no. three storey houses in Cell C10; 2 no two storey houses and 14 no. three storey houses in Terrace T10; provision of three single level residential basements (total 23,474 sq.m.) accommodating 707 ancillary car parking spaces, with associated bin storage, movement routes, core access, bicycle parking spaces and plant, provision of 639 ancillary car parking spaces at grade; and bicycle parking at grade; Provision of a neighbourhood centre/office building, a one, two and three storey building over basement level (total gross floor area approx. 4,119.7 sq.m) providing a supermarket of  1,287 sq.m. gross retail floorspace approx. to include a licensed sales area, and 7 shop units including mezzanine spaces providing 1,184 sq.m. approx of additional gross retail space; a caf̩/restaurant, 209 sq.m. approx; offices, 1,129 sq.m approx., basement to neighbourhood centre/office building (total 2,991 sq.m.) accommodating 114 car parking spaces, with associated movement routes, core access, bicycle parking spaces and plant; ancillary services and delivery yard, vehicular movement and circulation routes, lighting, signage, site development and landscape works including planting and boundary treatment; provision of 45 ancillary car parking spaces at grade and bicycle parking at grade; Provision of a cr̬che (1,051 sq.m. approx,) within a two storey building, ancillary outdoor play area, 17 no. staff car parking spaces and 4 no. car parking spaces within drop-off zone, all at grade; Provision of  a management office (12sq.m. approx); Provision of 5 parks comprising 4.1 hectares of public open space in all; provision of a kiosk (18.3sq.m. approx) within a single storey building in the Main Park to provide for the sale of light refreshments; provision of 18 no. ancillary car parking spaces at grade and bicycle parking at grade; Vehicular, pedestrian and cyclist access to the proposed development via a new signal controlled cross-roads junction on Glenageary Road Upper and all associated site works thereto on the public road network, to consist also of works  to provide for access to the 'future development phase 2' on the 'northern site' of the Dun Laoghaire Golf Club Lands; also vehicular, pedestrian and cyclist access to the proposed development via a new signal controlled junction on Kill Avenue and all associated access works thereto on the public road network; proposed pedestrian and cycle link to O'Rourke Park subject to the approval of Dun Laoghaire Rathdown County Council; proposed pedestrian and cycle link to Rochestown Avenue via Sefton  subject to the approval of Dun Laoghaire Rathdown County Council; Alterations to Glenageary Road Upper to include the provision of cycle lanes, bus priority, and to include alterations to the access junction to the service road to House No. 26 ('Aughavas'), No. 28 ('Aisling'), No. 30 and No. 32 ('Katimavik') Glenageary Road Upper, all works to occur to the public domain and on golf club lands only; Provision of internal road network; all ancillary site development work including diversion, extension of, and connection to existing public water supply and drainage services; all ancillary landscape works including public lighting, planting and boundary treatment, 8 no. ESB sub-station units and ancillary electrical services; all on lands of approx, 19.20 hectares on the 'Southern Site'. The planning application site area is inclusive of the area of land to provide for public road works and connection to existing public water supply and drainage services. This planning application seeks that the duration of planning permission be for a period of ten years to facilitate the phased completion of all elements of the proposed scheme. An Environmental Impact statement will be submitted to the Planning Authority with the Planning Application.",11/07/2014,Decision made,Decision made,No Comment,RPS Planning & Environment,Cosgrave Developments
